iter	Passed	Remaining
967	1874	3934
968	1875	3931
969	1877	3929
970	1879	3927
971	1881	3924
972	1882	3922
973	1884	3919
974	1885	3916
975	1887	3914
976	1889	3911
977	1890	3909
978	1892	3907
979	1894	3904
980	1895	3901
981	1896	3898
982	1898	3895
983	1899	3892
984	1901	3889
985	1902	3886
986	1904	3883
987	1906	3882
988	1908	3880
989	1909	3877
990	1911	3874
991	1913	3872
992	1914	3869
993	1916	3866
994	1918	3865
995	1920	3864
996	1923	3864
997	1924	3861
998	1926	3858
999	1927	3855
1000	1929	3852
1001	1930	3849
1002	1933	3848
1003	1934	3846
1004	1936	3843
1005	1937	3840
1006	1938	3836
1007	1940	3834
1008	1941	3831
1009	1942	3827
1010	1944	3824
1011	1945	3821
1012	1946	3818
1013	1948	3816
1014	1950	3813
1015	1962	3832
1016	1964	3829
1017	1965	3826
1018	1966	3823
1019	1968	3820
1020	1969	3818
1021	1971	3815
1022	1972	3812
1023	1974	3810
1024	1976	3808
1025	1978	3806
